FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
81,0,0.4891361667787231,1.1150084752350167,0.995405389463219,0.44593507428082185,-1.4803757232401549,1.553979200065725,False,0,0,0,0,7.59842586517334
82,0,0.5131369937083278,1.1526552879645782,0.9998836947482452,0.44515271510712806,-1.4450013606185976,1.554745700185783,False,0,0,0,0,7.636183261871338
83,0,0.5322455066298982,1.1820029528831777,1.0004510142928036,0.4482540808571773,-1.4061636523290528,1.5586750104966585,False,0,0,0,0,7.674310922622681
84,0,0.5509273549656901,1.2111832687954358,0.9987960908085898,0.44824713553605705,-1.3702855264469276,1.5511594130373507,False,0,0,0,0,7.712105989456177
85,0,0.5720448098411194,1.244266746312186,0.999091960313252,0.450079126277295,-1.3345237516046902,1.561517190572162,False,0,0,0,0,7.750030755996704
86,0,0.5907817274748589,1.273321062633465,0.9998731325687168,0.4504369841762259,-1.2999535720125235,1.562298362827627,False,0,0,0,0,7.787912607192993
87,0,0.6152534293011892,1.31113990631355,1.0002521277489222,0.45403297138271737,-1.2499195503574565,1.5711493747669598,False,0,0,0,0,7.826128959655762
88,0,0.6345379254662742,1.3403951150151938,0.9995976189968664,0.45642593408050336,-1.2189503042344927,1.5635526113467288,False,0,0,0,0,7.863780975341797
89,0,0.6537894395595111,1.3700188751061835,1.0015594452683036,0.456455838456367,-1.1848895907251296,1.5596083004952996,False,0,0,0,0,7.903782367706299
90,0,0.6776103237265302,1.4079037132489876,1.0045405434321315,0.45898788209660984,-1.1383051120022574,1.5660007066300392,False,0,0,0,0,7.9434449672698975
91,0,0.6966817284615974,1.4373192117852047,1.009836003033844,0.459992562062106,-1.1158800478103577,1.5851954596017126,False,0,0,0,0,7.9838316440582275
92,0,0.7219016733773692,1.4749964083295355,1.0074524252043462,0.4649837177258645,-1.0710326061829882,1.5689535093149998,False,0,0,0,0,8.023760080337524
93,0,0.7411157519347734,1.5037628989353167,1.0060970041083634,0.46598464845984905,-1.0379455327016387,1.5856052762528863,False,0,0,0,0,8.063333511352539
94,0,0.762988087636163,1.5374130346669577,1.0015457342127279,0.4690148507330238,-1.005061897150056,1.5800658921283817,False,0,0,0,0,8.101085424423218
95,0,0.7848494450896437,1.5706551013598622,1.0059789161644215,0.4680684532180637,-0.9679663481200361,1.5764892801768662,False,0,0,0,0,8.13895583152771
96,0,0.8065540957168701,1.604013079008214,1.0077376460649021,0.4762389728098452,-0.9391651847433222,1.5657561506798319,False,0,0,0,0,8.176454544067383
97,0,0.8256307642741472,1.633675928638385,1.0061689955931663,0.4739336006776651,-0.8967693594268744,1.5795043788789684,False,0,0,0,0,8.214449167251587
